diff_resolution,diff_framerate,diff_bitrate,diff_ratio,frames,umem,duration,size,codec_vp8,codec_h264,codec_mpeg4,o_codec_vp8,o_codec_h264,o_codec_mpeg4,utime
-844800,-4.937441999999997,-13097,-0.4444444444444444,16146,218932,645.84,7742262,1,0,0,1,0,0,15.929
0,-6.969999999999999,5179648,0.0,7830,218932,326.58832,244926878,0,1,0,0,0,0,10.417
-1996800,1.0,-77983,-0.4444444444444444,11826,645544,473.0,9697521,0,1,0,0,1,0,45.327
-1152000,15.002232,-947574,0.0,13441,655172,448.575,115083398,1,0,0,0,1,0,102.842
-1996800,0.0,-569724,-0.4444444444444444,6382,216820,255.28,7986338,0,0,0,0,0,1,14.937
-614400,17.0,-4482636,-0.4444444444444444,13746,343060,458.625,29659524,0,1,0,0,1,0,25.13
-844800,-16.97,-259827,-0.4444444444444444,456,219480,33.09,1154731,0,1,0,0,0,1,10.861
-1900800,10.0,-166999,-0.4444444444444444,1318,140080,52.68,2449633,0,1,0,1,0,0,26.922
-1996800,1.0,-4749724,-0.4444444444444444,6382,642556,255.28,7986338,0,0,0,0,1,0,160.17
1152000,13.065933000000001,-3428997,0.0,6843,353308,273.816,53770740,1,0,0,0,1,0,53.571
-1900800,15.0,186979,-0.4444444444444444,17438,218932,581.233,21504146,0,1,0,1,0,0,20.697
-134400,5.0,448041,0.0,2417,219480,80.536,6946645,0,1,0,0,1,0,16.905
-1996800,4.0,-4846941,-0.4444444444444444,7494,643900,250.017,4783444,0,1,0,0,1,0,130.016
-1996800,-4.894340999999997,-107666,-0.4444444444444444,7623,216820,304.927,5120280,1,0,0,0,0,1,15.161
-1766400,0.021740000000001203,-509904,-0.4444444444444444,9208,221152,368.32,1339625,1,0,0,1,0,0,28.462
-1996800,5.0,-2732968,-0.4444444444444444,4913,630264,163.897,5470732,0,0,0,0,1,0,105.551
-614400,17.0,-173568,-0.4444444444444444,11523,340428,384.451,31065203,0,1,0,0,1,0,27.41
0,0.05919800000000208,-4860209,0.0,8228,216820,274.541,4797322,1,0,0,0,1,0,14.713
-2048256,0.0,-4944448,-0.5555555555555554,1184,217880,98.683334,685260,0,0,1,1,0,0,16.109
-1152000,-5.990779,199862,0.0,9232,641284,385.052,21267505,1,0,0,0,1,0,46.727
-1900800,17.0,634041,-0.4444444444444444,2417,219480,80.536,6946645,0,1,0,1,0,0,25.714
-1996800,13.075659000000002,25334,-0.4444444444444444,7623,216820,304.927,5120280,1,0,0,1,0,0,17.493
1766400,-6.969999999999999,2999648,0.4444444444444444,7830,218932,326.58832,244926878,0,1,0,0,0,1,10.361
-614400,0.0,503834,-0.4444444444444444,7065,221152,282.56,19773349,0,1,0,1,0,0,14.189
1900800,-6.969999999999999,999648,0.4444444444444444,7830,218932,326.58832,244926878,0,1,0,0,1,0,35.854
-844800,1.0,141276,-0.4444444444444444,6382,309800,255.28,7986338,0,0,0,0,1,0,21.425
-896256,-13.0,-51435,-0.5555555555555554,3074,323292,256.20834,1843600,0,0,1,0,1,0,17.397
-748800,1.0,-2711295,-0.4444444444444444,1056,216820,42.2,1522924,0,1,0,1,0,0,16.673
-230400,14.0,-2760664,0.0,6078,221160,203.198,6079081,0,0,0,0,1,0,19.329
-2048256,-13.0,-483448,-0.5555555555555554,1184,217852,98.683334,685260,0,0,1,0,0,1,12.461
-748800,4.0,-339875,-0.4444444444444444,8755,219480,292.092,17530090,0,1,0,0,0,1,10.341
-1996800,-14.0,-575509,-0.4444444444444444,4081,221152,340.424,10403848,0,0,0,0,0,1,12.693
-2048256,-17.97,-768918,-0.5555555555555554,1716,219480,143.03334,913312,0,0,1,1,0,0,21.241
-1152000,5.002231999999999,-2947574,0.0,13441,655240,448.575,115083398,1,0,0,0,1,0,171.635
-2048256,-13.0,-487775,-0.5555555555555554,792,219480,67.583336,432749,0,0,1,0,0,1,11.301
1152000,0.06593300000000113,751003,0.0,6843,219656,273.816,53770740,1,0,0,1,0,0,24.274
-844800,4.0,-299664,-0.4444444444444444,6078,299516,203.198,6079081,0,0,0,0,1,0,33.758
-1900800,0.030000000000001137,-4617539,-0.4444444444444444,2318,219480,77.233,3692330,0,1,0,0,0,1,17.589
0,-5.969999999999999,-792516,0.0,4017,219656,167.39166,46189307,0,1,0,1,0,0,31.662
-1152000,17.0,-2240551,0.0,1109,219480,37.011665,12766479,0,1,0,1,0,0,51.807
-134400,13.0,258198,0.0,5978,149408,239.14166,14952277,0,1,0,0,1,0,10.561
-748800,-4.969999999999999,-60040,-0.4444444444444444,9484,219480,379.32,8627672,0,1,0,1,0,0,15.201
-134400,5.093457999999998,78011,0.0,3220,216820,107.443,4297868,1,0,0,0,1,0,12.901
1996800,6.0,5883818,0.4444444444444444,1170,215848,39.055,29256190,0,1,0,1,0,0,10.669
0,-0.9699999999999989,-1935297,0.0,12795,335576,426.945,56821235,0,1,0,0,1,0,65.108
-1766400,5.0,-4482636,-0.4444444444444444,13746,216820,458.625,29659524,0,1,0,0,0,1,12.029
0,-0.9699999999999989,-2519875,0.0,8755,219480,292.092,17530090,0,1,0,1,0,0,10.633
-1900800,6.062992000000001,-4739333,-0.4444444444444444,7636,647708,254.922,8306231,1,0,0,0,1,0,145.165
-896256,0.0,-4943848,-0.5555555555555554,21227,311500,1768.9417,12416387,0,0,1,0,1,0,57.288
-2048256,-12.0,-4944448,-0.5555555555555554,1184,637756,98.683334,685260,0,0,1,0,1,0,50.439
-1900800,-4.969999999999999,-2627999,-0.4444444444444444,1318,646380,52.68,2449633,0,1,0,0,1,0,147.901
614400,6.002231999999999,1513426,0.4444444444444444,13441,217080,448.575,115083398,1,0,0,0,1,0,21.765
-748800,-4.856363999999999,-215032,-0.4444444444444444,4420,218932,176.901,596349,1,0,0,0,0,1,10.045
0,0.06593300000000113,1329003,0.0,6843,649192,273.816,53770740,1,0,0,0,1,0,44.131
-1152000,5.0,-240551,0.0,1109,219480,37.011665,12766479,0,1,0,0,0,1,15.165
134400,0.0,-2027428,0.0,956,219656,63.667,7740095,0,1,0,0,1,0,17.913
0,1.0,-166999,0.0,1318,155028,52.68,2449633,0,1,0,0,1,0,13.749
748800,-0.0013949999999987028,-311691,0.4444444444444444,25773,262784,860.056,289012098,1,0,0,1,0,0,20.289
-748800,18.062992,-4739333,-0.4444444444444444,7636,221160,254.922,8306231,1,0,0,1,0,0,13.689
-844800,-9.2942476,-175320,-0.4444444444444444,2579,248092,452.689,3773200,1,0,0,1,0,0,12.305
-1766400,4.0,-10744,-0.4444444444444444,2862,221160,95.462,9656655,0,1,0,1,0,0,40.363
614400,0.0,-2792516,0.4444444444444444,4017,219656,167.39166,46189307,0,1,0,1,0,0,15.329
-1152000,1.4826669999999993,255075,0.0,10112,667460,750.433,74487589,1,0,0,0,1,0,33.03
-748800,4.0,-4309959,-0.4444444444444444,2417,331660,80.536,6946645,0,1,0,0,1,0,104.667
614400,4.981791999999999,113356,0.4444444444444444,21407,165564,714.371,58253046,1,0,0,0,1,0,20.501
-1900800,-6.969999999999999,-4491840,-0.4444444444444444,6882,651616,286.995,18229956,0,1,0,0,1,0,155.714
-1766400,4.0,-4482636,-0.4444444444444444,13746,216820,458.625,29659524,0,1,0,1,0,0,32.374
1152000,-6.969999999999999,2260852,0.0,3050,217436,127.221664,48993895,0,1,0,1,0,0,30.174
-96000,5.0,-2760664,0.0,6078,221160,203.198,6079081,0,0,0,0,1,0,14.777
1996800,6.0,5750818,0.4444444444444444,1170,215848,39.055,29256190,0,1,0,1,0,0,12.225
-1766400,0.14503900000000058,-434277,-0.4444444444444444,3294,666884,131.76,1724802,1,0,0,0,1,0,43.427
-1766400,6.062963,-4347033,-0.4444444444444444,8117,641744,270.655,22091130,1,0,0,0,1,0,161.51
-1996800,0.0,-4727102,-0.4444444444444444,1050,219656,69.933,2385577,0,0,0,1,0,0,47.067
-2048256,-17.97,416,-0.5555555555555554,3733,221160,311.1,2193902,0,0,1,1,0,0,13.841
-1900800,10.0,429452,-0.4444444444444444,5628,216820,225.08,15149369,0,1,0,1,0,0,17.681
-1152000,-10.517333,738075,0.0,10112,165700,750.433,74487589,1,0,0,1,0,0,28.718
-1900800,18.029198,-102209,-0.4444444444444444,8228,648776,274.541,4797322,1,0,0,0,1,0,28.13
-1766400,18.0,148699,-0.4444444444444444,10191,583788,339.667,10941484,0,1,0,0,1,0,16.973
134400,0.09296300000000102,410967,0.0,8117,219480,270.655,22091130,1,0,0,1,0,0,10.033
748800,0.0,2776589,0.4444444444444444,3945,216020,157.80167,56918844,0,1,0,1,0,0,10.857
-1152000,5.007017000000001,2285626,0.0,34208,219480,1140.349,341338789,1,0,0,1,0,0,48.155
